Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp,FlowId,ClientId,Fqdn
23968,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8889,0.0.0.0,0,2025-08-23T16:27:35Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8889,127.0.0.1,22209,2025-08-23T16:27:35Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
5320,vagrant-vmware-utility.exe,IPv4,TCP,LISTEN,127.0.0.1,9922,0.0.0.0,0,2025-08-17T15:06:58Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4692,chrome.exe,IPv4,TCP,ESTAB,192.168.1.34,11422,34.1.16.64,443,2025-08-23T16:27:44Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
18332,msedge.exe,IPv4,TCP,ESTAB,192.168.1.34,12438,52.98.88.66,443,2025-08-23T16:11:44Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4692,chrome.exe,IPv4,TCP,ESTAB,192.168.1.34,18048,104.18.32.47,443,2025-08-23T16:27:29Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
23968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,18049,127.0.0.1,8001,2025-08-23T16:27:35Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4692,chrome.exe,IPv4,TCP,ESTAB,127.0.0.1,22209,127.0.0.1,8889,2025-08-23T16:27:35Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
9356,Grammarly.Desktop.exe,IPv4,TCP,ESTAB,192.168.1.34,25974,34.193.186.116,443,2025-08-23T16:28:05Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
9356,Grammarly.Desktop.exe,IPv4,TCP,ESTAB,192.168.1.34,25975,52.0.106.32,443,2025-08-23T16:28:09Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
9356,Grammarly.Desktop.exe,IPv4,TCP,CLOSE_WAIT,192.168.1.34,26415,52.45.91.167,443,2025-08-23T16:26:07Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
9356,Grammarly.Desktop.exe,IPv4,TCP,ESTAB,192.168.1.34,26416,3.231.172.88,443,2025-08-23T16:26:07Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
27760,Discord.exe,IPv4,TCP,ESTAB,192.168.1.34,26423,162.159.135.234,443,2025-08-23T16:26:24Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
20692,msedgewebview2.exe,IPv4,TCP,ESTAB,192.168.1.34,26427,52.123.128.14,443,2025-08-23T16:26:32Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
18564,msedgewebview2.exe,IPv4,TCP,ESTAB,192.168.1.34,27390,54.192.142.105,443,2025-08-23T16:06:12Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
4692,chrome.exe,IPv4,TCP,ESTAB,192.168.1.34,35351,172.217.70.188,5228,2025-08-23T15:26:46Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
1344,Slack.exe,IPv4,TCP,ESTAB,192.168.1.34,37328,65.2.117.88,443,2025-08-23T16:25:38Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
20692,msedgewebview2.exe,IPv4,TCP,ESTAB,192.168.1.34,37527,20.189.173.7,443,2025-08-23T16:27:25Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
20692,msedgewebview2.exe,IPv4,TCP,ESTAB,192.168.1.34,37528,20.189.173.7,443,2025-08-23T16:27:25Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
8408,WhatsApp.exe,IPv4,TCP,ESTAB,192.168.1.34,37529,163.70.146.60,443,2025-08-23T16:27:25Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
8408,WhatsApp.exe,IPv4,TCP,ESTAB,192.168.1.34,37530,157.240.16.52,443,2025-08-23T16:27:25Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
8408,WhatsApp.exe,IPv4,TCP,ESTAB,192.168.1.34,37531,157.240.198.60,443,2025-08-23T16:27:25Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
8408,WhatsApp.exe,IPv4,TCP,ESTAB,192.168.1.34,37532,57.144.147.32,443,2025-08-23T16:27:25Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
8408,WhatsApp.exe,IPv4,TCP,ESTAB,192.168.1.34,37533,163.70.145.60,443,2025-08-23T16:27:25Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
8408,WhatsApp.exe,IPv4,TCP,ESTAB,192.168.1.34,37534,157.240.239.60,443,2025-08-23T16:27:25Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
8408,WhatsApp.exe,IPv4,TCP,ESTAB,192.168.1.34,37535,103.59.199.162,443,2025-08-23T16:27:25Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
8408,WhatsApp.exe,IPv4,TCP,ESTAB,192.168.1.34,37536,157.240.198.60,443,2025-08-23T16:27:25Z,F.D2KUO6M0IPL5Q.H,C.39f282f6e662a1cb,LAPTOP-K8OGF4C7
